house_age,distance_to_mrt,num_convenience_stores,price_unit_area
32.0,84.87882,100.0,37.9
19.5,306.5947,9.0,42.2
13.3,561.9845,5.0,47.3
13.3,561.9845,5.0,54.8
5.0,390.5684,5.0,43.1
7.1,2175.03,3.0,32.1
34.5,623.4731,7.0,40.3
20.3,287.6025,6.0,46.7
31.7,5512.038,1.0,18.8
17.9,1783.18,3.0,22.1
34.8,405.2134,1.0,41.4
6.3,90.45606,9.0,58.1
13.0,492.2313,5.0,39.3
20.4,2469.645,4.0,23.8
13.2,1164.838,4.0,34.3
35.7,579.2083,2.0,50.5
0.0,292.9978,6.0,70.1
17.7,350.8515,1.0,37.4
16.9,368.1363,8.0,42.3
1.5,23.38284,7.0,47.7
4.5,2275.877,3.0,29.3
10.5,279.1726,7.0,51.6
14.7,1360.139,1.0,24.6
10.1,279.1726,7.0,47.9
39.6,480.6977,4.0,38.8
29.3,1487.868,2.0,27.0
3.1,383.8624,5.0,56.2
10.4,276.449,5.0,33.6
19.2,557.478,4.0,47.0
7.1,451.2438,5.0,57.1
25.9,4519.69,0.0,22.1
29.6,769.4034,7.0,25.0
37.9,488.5727,1.0,34.2
16.5,323.655,6.0,49.3
15.4,205.367,7.0,55.1
13.9,4079.418,0.0,27.3
14.7,1935.009,2.0,22.9
12.0,1360.139,1.0,25.3
3.1,577.9615,6.0,47.7
16.2,289.3248,5.0,46.2
16.8,4066.587,0.0,18.2
36.1,519.4617,5.0,34.7
34.4,512.7871,6.0,34.1
2.7,533.4762,4.0,53.9
36.6,488.8193,8.0,38.3
21.7,463.9623,9.0,42.0
35.9,640.7391,3.0,61.5
24.2,4605.749,0.0,13.4
29.4,4510.359,1.0,13.2
21.7,512.5487,4.0,44.2
31.3,1758.406,1.0,20.7
32.1,1438.579,3.0,27.0
31.7,1160.632,0.0,13.7
33.6,371.2495,8.0,41.9
3.5,56.47425,7.0,53.5
30.3,4510.359,1.0,22.6
13.3,336.0532,5.0,42.4
11.0,1931.207,2.0,21.3
5.3,259.6607,6.0,63.2
17.2,2175.877,3.0,27.7
2.6,533.4762,4.0,55.0
17.5,995.7554,0.0,25.3
40.1,123.7429,8.0,44.3
1.0,193.5845,6.0,50.7
8.5,104.8101,5.0,56.8
30.4,464.223,6.0,36.2
12.5,561.9845,5.0,42.0
6.6,90.45606,9.0,59.0
35.5,640.7391,3.0,40.8
32.5,424.5442,8.0,36.3
13.8,4082.015,0.0,20.0
6.8,379.5575,10.0,54.4
12.3,1360.139,1.0,29.5
35.9,616.4004,3.0,36.8
20.5,2185.128,3.0,25.6
38.2,552.4371,2.0,29.8
18.0,1414.837,1.0,26.5
11.8,533.4762,4.0,40.3
30.8,377.7956,6.0,36.8
13.2,150.9347,7.0,48.1
25.3,2707.392,3.0,17.7
15.1,383.2805,7.0,43.7
0.0,338.9679,9.0,50.8
1.8,1455.798,1.0,27.0
16.9,4066.587,0.0,18.3
8.9,1406.43,0.0,48.0
23.0,3947.945,0.0,25.3
0.0,274.0144,1.0,45.4
9.1,1402.016,0.0,43.2
31.9,1146.329,0.0,16.1
40.9,167.5989,5.0,41.0
8.0,104.8101,5.0,51.8
6.4,90.45606,9.0,59.5
28.4,617.4424,3.0,34.6
